epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,286.276,1.59625,4.50625,0.01845,0.25927,0.231,0.17062,0.06628,1.91327,3.091,0.03485,0.000369954,0.000369954,0.000369954
2,572.682,1.75977,2.94744,0.02223,0.19453,0.26544,0.16268,0.05964,2.00577,2.90624,0.03518,0.000728073,0.000728073,0.000728073
3,872.454,1.91308,2.66769,0.02396,0.22314,0.3033,0.17678,0.0688,2.02206,2.66334,0.03477,0.00107397,0.00107397,0.00107397
4,1162.08,1.89302,2.5403,0.02343,0.42115,0.26041,0.1968,0.08353,1.92718,2.50999,0.03272,0.00105601,0.00105601,0.00105601
5,1448.17,1.87303,2.34221,0.02434,0.25567,0.30078,0.20998,0.08584,2.01295,2.46982,0.03718,0.00103767,0.00103767,0.00103767
6,1738.01,1.86613,2.24522,0.02382,0.22457,0.33663,0.22551,0.08776,2.05641,2.30201,0.03735,0.00101934,0.00101934,0.00101934
7,2031.95,1.81772,2.14774,0.02306,0.2404,0.40338,0.23054,0.09925,1.91339,2.34017,0.03208,0.00100101,0.00100101,0.00100101
8,2325.09,1.81652,2.08711,0.02323,0.26956,0.39733,0.2529,0.11371,1.89789,2.2047,0.03172,0.000982679,0.000982679,0.000982679
9,2616.53,1.79817,1.99904,0.02224,0.47017,0.28647,0.26149,0.11277,1.96301,2.22357,0.03369,0.000964348,0.000964348,0.000964348
10,2903.55,1.78195,1.92201,0.02204,0.30266,0.39246,0.27118,0.1241,1.87761,2.11483,0.03241,0.000946016,0.000946016,0.000946016
11,3189.27,1.74422,1.86936,0.02157,0.32342,0.45528,0.30992,0.1447,1.86433,1.93162,0.03008,0.000927685,0.000927685,0.000927685
12,3482.64,1.73492,1.85385,0.02086,0.3093,0.4552,0.29974,0.14186,1.8893,2.04838,0.03156,0.000909353,0.000909353,0.000909353
13,3779.1,1.69758,1.82944,0.02027,0.30767,0.48129,0.30559,0.13959,1.86216,1.90426,0.02966,0.000891022,0.000891022,0.000891022
14,4059.62,1.71167,1.74834,0.02057,0.33868,0.45565,0.31451,0.13305,1.90638,1.94967,0.032,0.000872691,0.000872691,0.000872691
15,4338.44,1.64624,1.65196,0.01953,0.37323,0.32231,0.32186,0.14433,1.88863,2.02654,0.03057,0.000854359,0.000854359,0.000854359
16,4617.22,1.63979,1.67157,0.01922,0.32114,0.47486,0.34686,0.16033,1.83772,1.99561,0.02974,0.000836027,0.000836027,0.000836027
17,4897.28,1.60928,1.57816,0.01946,0.34781,0.46623,0.3602,0.16607,1.83778,1.83679,0.03107,0.000817696,0.000817696,0.000817696
18,5175.9,1.60307,1.61617,0.01896,0.32563,0.43384,0.34292,0.16404,1.87344,2.00167,0.0314,0.000799365,0.000799365,0.000799365
19,5453.79,1.57708,1.56523,0.01886,0.36,0.48773,0.37413,0.18784,1.74953,1.83501,0.02768,0.000781033,0.000781033,0.000781033
20,5731.18,1.59014,1.51658,0.01865,0.38937,0.4402,0.40398,0.20512,1.79363,1.80647,0.02898,0.000762702,0.000762702,0.000762702
21,6009.51,1.57228,1.45982,0.01819,0.36828,0.48422,0.39317,0.19785,1.77756,1.86327,0.02902,0.00074437,0.00074437,0.00074437
22,6287.22,1.57122,1.45026,0.018,0.34688,0.53168,0.38717,0.19546,1.76136,1.72706,0.02821,0.000726038,0.000726038,0.000726038
23,6564.45,1.58231,1.50775,0.01818,0.41924,0.47584,0.40636,0.197,1.77209,1.6564,0.02859,0.000707707,0.000707707,0.000707707
24,6842.13,1.53931,1.4186,0.01818,0.38996,0.50877,0.41271,0.20758,1.81196,1.63632,0.03113,0.000689376,0.000689376,0.000689376
25,7120.24,1.55115,1.37505,0.01785,0.35324,0.51569,0.4,0.20283,1.76911,1.80927,0.02884,0.000671044,0.000671044,0.000671044
26,7398.43,1.48949,1.37038,0.01739,0.39758,0.50327,0.42869,0.21415,1.7735,1.6767,0.02849,0.000652712,0.000652712,0.000652712
27,7676.54,1.50345,1.35797,0.01685,0.40038,0.56182,0.44653,0.22654,1.73531,1.63022,0.02717,0.000634381,0.000634381,0.000634381
28,7954.35,1.47669,1.29468,0.01641,0.36662,0.47601,0.39397,0.19791,1.77435,1.77802,0.0287,0.000616049,0.000616049,0.000616049
29,8232.94,1.46284,1.25665,0.01649,0.39592,0.54817,0.43428,0.22652,1.72474,1.65073,0.02731,0.000597718,0.000597718,0.000597718
30,8516.69,1.43437,1.26263,0.0158,0.45053,0.50351,0.45193,0.23996,1.72708,1.58209,0.02728,0.000579386,0.000579386,0.000579386
31,265.925,1.44988,1.26324,0.01596,0.40659,0.53458,0.43183,0.21466,1.81507,1.64747,0.02922,0.000561055,0.000561055,0.000561055
32,531.73,1.44422,1.24809,0.01597,0.3997,0.58284,0.42371,0.22234,1.71655,1.73294,0.02744,0.000542723,0.000542723,0.000542723
33,801.007,1.44549,1.24837,0.01567,0.48629,0.50823,0.46001,0.24599,1.71965,1.55616,0.02725,0.000524392,0.000524392,0.000524392
34,1072.21,1.4056,1.18167,0.01511,0.41696,0.54257,0.44359,0.23006,1.73871,1.6092,0.02775,0.00050606,0.00050606,0.00050606
35,1342.34,1.40167,1.13528,0.01541,0.44184,0.53503,0.45831,0.24339,1.69356,1.61884,0.02687,0.000487729,0.000487729,0.000487729
36,1629.49,1.39072,1.1429,0.01509,0.43381,0.53591,0.45825,0.23359,1.7609,1.57545,0.02838,0.000469397,0.000469397,0.000469397
37,1897.32,1.37276,1.09573,0.01471,0.46178,0.53563,0.46576,0.24522,1.70763,1.64367,0.02674,0.000451066,0.000451066,0.000451066
38,2164.01,1.34244,1.08452,0.0146,0.50542,0.48827,0.49754,0.27837,1.6495,1.59421,0.02504,0.000432734,0.000432734,0.000432734
39,2430.16,1.3256,1.07805,0.01391,0.48324,0.53562,0.47203,0.25139,1.67832,1.56317,0.02584,0.000414403,0.000414403,0.000414403
