epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
9,907.391,1.51144,1.02106,0.0072,0.71655,0.76476,0.80273,0.46481,1.39696,0.82702,0.00964,0.000905463,0.000905463,0.000905463
10,2627.5,1.49001,0.99759,0.00698,0.75704,0.74044,0.80921,0.47574,1.27998,0.84505,0.00967,0.000881401,0.000881401,0.000881401
11,4161.9,1.4509,0.96684,0.00671,0.72366,0.77479,0.81073,0.49263,1.28627,0.7991,0.01011,0.000855018,0.000855018,0.000855018
12,6370.01,1.41017,0.93963,0.00667,0.71932,0.80608,0.81204,0.49221,1.27963,0.78392,0.00925,0.000826477,0.000826477,0.000826477
13,857.965,1.36861,0.89599,0.00633,0.77496,0.74746,0.81839,0.49536,1.26775,0.77867,0.00959,0.000795954,0.000795954,0.000795954
14,2785.5,1.35652,0.88769,0.00625,0.73163,0.74988,0.8078,0.48803,1.28656,0.81199,0.01045,0.000763637,0.000763637,0.000763637
15,4130.56,1.32405,0.85832,0.00595,0.71887,0.78325,0.81818,0.50241,1.22941,0.781,0.00835,0.000729725,0.000729725,0.000729725
16,5922.83,1.29758,0.83874,0.00593,0.74724,0.76314,0.82041,0.50614,1.24923,0.74169,0.00951,0.000694428,0.000694428,0.000694428
17,7412.78,1.32185,0.8571,0.00617,0.79324,0.75635,0.83966,0.53684,1.17999,0.73091,0.00838,0.000657963,0.000657963,0.000657963
18,9252.8,1.30758,0.84464,0.00588,0.7171,0.80497,0.8331,0.52919,1.15433,0.70975,0.00808,0.000620555,0.000620555,0.000620555
19,10865.5,1.28085,0.81991,0.00583,0.71481,0.80841,0.82579,0.53282,1.13628,0.71238,0.00791,0.000582435,0.000582435,0.000582435
20,12922.3,1.27244,0.82506,0.00563,0.76556,0.75319,0.82907,0.5359,1.14891,0.71306,0.00804,0.000543837,0.000543837,0.000543837
